Country,"Fertility rate, total (births per woman)",Current health expenditure per capita (current US$),Diabetes prevalence (% of population ages 20 to 79),Domestic general government health expenditure per capita (current US$),Domestic private health expenditure per capita (current US$),"GNI per capita, Atlas method (current US$)","Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, Hib3 (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Immunization, Pol3 (% of one-year-old children)","Incidence of tuberculosis (per 100,000 people)","Labor force, total",Net migration,Out-of-pocket expenditure per capita (current US$),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),Population growth (annual %),"Population, total",Prevalence of overweight (% of adults),Prevalence of hypertension (% of adults ages 30-79),Rural population,Sex ratio at birth (male births per female births),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Tuberculosis death rate (per 100,000 people)",Tuberculosis treatment success rate (% of new cases),"Unemployment, total (% of total labor force)",Urban population growth (annual %),Urban population
Brunei Darussalam,1.819,677.82629395,13.7,640.49040236,37.33593166,36150.0,99.0,99.0,99.0,97.0,99.0,63.0,233520.0,0.0,37.33592746,99.9000453399775,95.8309192020188,0.81851878860359,462721.0,66.09,46.4,95140.0,1.082,0.41,4.1,75.0,5.144,1.18413884401508,367581.0
Serbia,1.52,641.02966309,10.5,374.04771452,256.46750446,11570.0,97.0,94.0,97.0,87.0,97.0,14.0,3229504.0,-8132.0,237.40902764,94.9123598279511,97.8970216521443,-0.54473944514548,6587202.0,53.34,46.1,2808058.0,1.069,7.89,0.73,85.0,7.39,-0.0940247043453342,3779144.0
Guyana,2.521,314.0977478,16.4,186.01511896,119.57990546,20220.0,99.0,99.0,99.0,98.0,97.0,77.0,292190.0,-5407.0,110.00879141,94.9483638235288,89.1498898157526,0.571243951310838,831087.0,54.51,40.0,604067.0,1.037,5.35,11.0,71.0,10.165,1.13673329169945,227020.0
Cabo Verde,1.698,195.76327515,6.8,122.40632655,60.33403966,5000.0,96.0,96.0,96.0,98.0,97.0,49.0,224498.0,-1209.0,55.24322562,88.5908710915054,78.8249564795012,0.486246288487151,524877.0,44.09,44.1,165798.0,1.033,6.27,4.3,89.0,11.878,1.1168325335273,359079.0
Trinidad and Tobago,1.578,1097.20556641,12.4,504.48000303,592.02975812,20000.0,93.0,93.0,93.0,99.0,93.0,17.0,649891.0,1334.0,514.73047847,98.8751707692306,93.9152110121169,0.0601642729371072,1368333.0,57.11,42.4,635426.0,1.041,6.06,1.5,61.0,4.546,0.290088753538807,732907.0
Brazil,1.705,868.17248535,10.6,353.70026674,513.20573502,9950.0,70.0,72.0,72.0,91.0,85.0,46.0,106790403.0,-225510.0,215.999997,98.9355439518362,89.298795927984,0.405467027627251,211998573.0,59.91,45.0,25405909.0,1.045,7.67,2.5,69.0,7.634,0.664847024770479,186592664.0
Grenada,1.542,515.94726563,11.3,213.5535841,301.91766607,10550.0,94.0,94.0,94.0,94.0,94.0,3.1,,-192.0,280.78343925,,,0.107559936614412,117207.0,58.21,46.6,73527.0,1.041,8.06,1.1,33.0,,0.668437867694504,43680.0
Bangladesh,2.18,47.84217072,13.2,9.46826743,35.71238614,2820.0,98.0,98.0,98.0,97.0,98.0,221.0,77355168.0,-473362.0,34.47037958,97.8251365713411,54.9102399606066,1.21462115417186,173562364.0,23.44,28.8,102002601.0,1.051,0.005,24.0,95.0,4.68,3.06772756682046,71559763.0
St. Vincent and the Grenadines,1.864,372.05615234,8.6,250.85019319,115.36615372,11020.0,97.0,98.0,98.0,99.0,99.0,4.2,52149.0,-737.0,104.51020779,,,-0.700214310937747,100616.0,59.76,39.3,45554.0,1.034,7.16,0.98,100.0,18.056,0.0817594682123322,55062.0
Myanmar,2.206,53.72147369,6.7,8.57371805,41.16816006,1220.0,90.0,90.0,90.0,84.0,90.0,322.0,22741699.0,-37979.0,41.13124356,78.9093353384479,73.1653187541976,0.674364862610485,54500091.0,25.27,37.8,36803911.0,1.067,2.12,36.0,88.0,3.032,1.78304805428229,17696180.0
Nigeria,4.861,67.6254425,3.0,10.64177071,49.04002485,1250.0,66.0,66.0,66.0,58.0,66.0,219.0,113349564.0,-35202.0,48.35017884,74.7241263304551,43.27675278374,2.08297776184189,232679478.0,32.56,36.1,104635961.0,1.038,4.21,63.0,88.0,2.989,3.44971685567002,128043517.0
"Congo, Dem. Rep.",6.253,19.20812035,7.7,3.03834808,8.71191751,640.0,73.0,73.0,73.0,65.0,74.0,320.0,38546033.0,-26968.0,7.39455033,35.678057309253,16.4166624601584,3.24257627586721,109276265.0,19.96,34.3,56763556.0,1.021,2.12,49.0,92.0,4.556,4.52218796060245,52512709.0
Haiti,2.862,49.32995987,8.5,5.13920596,23.34536491,1760.0,51.0,51.0,51.0,65.0,51.0,170.0,5281030.0,-31747.0,19.25757359,66.3209862141568,36.9385275856622,1.15472671204546,11772557.0,28.88,42.9,4653456.0,1.03,3.45,8.9,84.0,15.058,2.51330530909527,7119101.0
Afghanistan,5.238,74.0642395,11.7,2.48218497,56.89494105,520.0,65.0,65.0,65.0,57.0,71.0,189.0,9132918.0,-44089.0,56.89493912,73.7846429967308,51.0034810931108,2.83657317243522,42647492.0,43.77,40.2,31019653.0,1.053,0.016,26.0,91.0,13.295,4.06172661982306,11627839.0
